gene._id,gene.bnumber,gene.name
RDBECOLIGNC03812,b1774,ydjJ
RDBECOLIGNC03813,b1775,ydjK
RDBECOLIGNC03814,b1776,ydjL
RDBECOLIGNC03823,b1787,yeaK
RDBECOLIGNC03825,b1789,yeaL
RDBECOLIGNC03828,b1792,yeaO
RDBECOLIGNC03829,b1793,yoaF
RDBECOLIGNC03830,b1794,dgcP
RDBECOLIGNC03831,b1795,yeaQ
RDBECOLIGNC03835,b1799,dmlR
RDBECOLIGNC03836,b1800,dmlA
RDBECOLIGNC03837,b1801,yeaV
RDBECOLIGNC03838,b1802,yeaW
RDBECOLIGNC03839,b1803,yeaX
RDBECOLIGNC00848,b1804,rnd
RDBECOLIGNC03840,b1806,yeaY
RDBECOLIGNC03841,b1807,tsaB
RDBECOLIGNC03843,b1809,yoaB
RDBECOLIGNC02353,b1813,nudL
RDBECOLIGNC03846,b1815,pdeD
RDBECOLIGNC03847,b1816,yoaE
RDBECOLIGNC02089,b1822,rlmA
RDBECOLIGNC03851,b1825,yebO
RDBECOLIGNC00750,b1830,prc
RDBECOLIGNC02404,b1831,proQ
RDBECOLIGNC03855,b1832,msrC
RDBECOLIGNC03856,b1833,letA
RDBECOLIGNC03857,b1834,letB
RDBECOLIGNC03859,b1836,yebV
RDBECOLIGNC03860,b1837,yebW
RDBECOLIGNC03861,b1838,pphA
RDBECOLIGNC00992,b1845,ptrB
RDBECOLIGNC00606,b1855,lpxM
RDBECOLIGNC00011,b1856,mepM
RDBECOLIGNC01119,b1862,yebB
RDBECOLIGNC00913,b1863,ruvC
RDBECOLIGNC01120,b1864,yebC
RDBECOLIGNC01121,b1865,nudB
RDBECOLIGNC03869,b1869,yecN
RDBECOLIGNC03870,b1870,cmoA
RDBECOLIGNC03871,b1871,cmoB
RDBECOLIGNC03872,b1872,torZ
RDBECOLIGNC03873,b1873,torY
RDBECOLIGNC03874,b1874,cutC
RDBECOLIGNC03875,b1875,yecM
RDBECOLIGNC03879,b1893,insB5
RDBECOLIGNC03880,b1894,insA5
RDBECOLIGNC01687,b1896,otsA
RDBECOLIGNC01688,b1897,otsB
RDBECOLIGNC03885,b1906,yecH
RDBECOLIGNC01122,b1908,yecA
RDBECOLIGNC02491,b1909,leuZ
RDBECOLIGNC04692,b1910,cysT
RDBECOLIGNC02476,b1911,glyW
RDBECOLIGNC00697,b1912,pgsA
RDBECOLIGNC03886,b1918,tcyL
RDBECOLIGNC01353,b1927,amyA
RDBECOLIGNC01600,b1928,yedD
RDBECOLIGNC01601,b1929,yedE
RDBECOLIGNC01602,b1930,yedF
RDBECOLIGNC01603,b1931,yedK
RDBECOLIGNC03891,b1936,intG
RDBECOLIGNC03892,b1952,dsrB
RDBECOLIGNC03895,b1955,yedP
RDBECOLIGNC02362,b1958,yedI
RDBECOLIGNC01124,b1959,yedA
RDBECOLIGNC01056,b1960,vsr
RDBECOLIGNC02363,b1962,yedJ
RDBECOLIGNC03898,b1963,drpB
RDBECOLIGNC03901,b1968,hprS
RDBECOLIGNC02531,b1975,serU
RDBECOLIGNC03909,b1978,yeeJ
RDBECOLIGNC03912,b1983,yeeN
RDBECOLIGNC03913,b1984,asnW
RDBECOLIGNC03914,b1985,yeeO
RDBECOLIGNC02459,b1986,asnU
RDBECOLIGNC03917,b1990,ldtA
RDBECOLIGNC02044,b1992,cobS
RDBECOLIGNC03918,b1994,insH6
RDBECOLIGNC03920,b1996,insD3
RDBECOLIGNC03921,b1997,insC3
RDBECOLIGNC03922,b1999,yeeP
RDBECOLIGNC03924,b2001,yeeR
RDBECOLIGNC03925,b2002,yeeS
RDBECOLIGNC03926,b2003,yeeT
RDBECOLIGNC03927,b2004,cbeA
RDBECOLIGNC03928,b2005,cbtA
RDBECOLIGNC03929,b2006,yeeW
RDBECOLIGNC01818,b2008,yeeA
RDBECOLIGNC01820,b2010,dacD
RDBECOLIGNC00914,b2011,sbcB
RDBECOLIGNC01821,b2012,tsuB
RDBECOLIGNC01823,b2014,plaP
RDBECOLIGNC03931,b2015,yeeY
RDBECOLIGNC03933,b2027,wzzB
RDBECOLIGNC03935,b2030,insH7
RDBECOLIGNC01907,b2032,wbbK
RDBECOLIGNC01906,b2033,wbbJ
RDBECOLIGNC01905,b2034,wbbI
RDBECOLIGNC01904,b2035,wbbH
RDBECOLIGNC01903,b2036,glf
RDBECOLIGNC01902,b2037,rfbX
RDBECOLIGNC01900,b2039,rfbA
RDBECOLIGNC02267,b2040,rfbD
RDBECOLIGNC03936,b2042,galF
RDBECOLIGNC03937,b2043,wcaM
RDBECOLIGNC03938,b2044,wcaL
RDBECOLIGNC03939,b2045,wcaK
RDBECOLIGNC01329,b2064,asmA
RDBECOLIGNC02254,b2067,dgcE
RDBECOLIGNC02083,b2069,yegD
RDBECOLIGNC03952,b2070,yegI
RDBECOLIGNC03953,b2071,yegJ
RDBECOLIGNC03954,b2072,pphC
RDBECOLIGNC03959,b2080,yegP
RDBECOLIGNC03960,b2081,trhP
RDBECOLIGNC03961,b2082,ogrK
RDBECOLIGNC03965,b2086,yegS
RDBECOLIGNC03966,b2088,insE5
RDBECOLIGNC03967,b2089,insF5
RDBECOLIGNC03973,b2101,yegW
RDBECOLIGNC03974,b2102,yegX
RDBECOLIGNC03975,b2103,thiD
RDBECOLIGNC04704,b2104,thiM
RDBECOLIGNC00603,b2113,mrp
RDBECOLIGNC00578,b2114,metG
RDBECOLIGNC01915,b2118,yehI
RDBECOLIGNC01917,b2120,yehM
RDBECOLIGNC01918,b2121,yehP
RDBECOLIGNC01919,b2122,yehQ
RDBECOLIGNC01920,b2123,yehR
RDBECOLIGNC01922,b2125,btsR
RDBECOLIGNC01923,b2126,btsS
RDBECOLIGNC01925,b2128,yehW
RDBECOLIGNC01926,b2129,yehX
RDBECOLIGNC01927,b2130,yehY
RDBECOLIGNC01928,b2131,osmF
RDBECOLIGNC01930,b2134,pbpG
RDBECOLIGNC01931,b2135,yohC
RDBECOLIGNC01932,b2136,yohD
RDBECOLIGNC01933,b2137,yohF
RDBECOLIGNC01934,b2139,mdtQ
RDBECOLIGNC01935,b2140,dusC
RDBECOLIGNC01937,b2142,yohK
RDBECOLIGNC01938,b2144,sanA
RDBECOLIGNC03979,b2145,yeiS
RDBECOLIGNC01939,b2154,yeiG
RDBECOLIGNC01941,b2160,yeiI
RDBECOLIGNC01942,b2161,nupX
RDBECOLIGNC01943,b2162,rihB
RDBECOLIGNC01945,b2164,psuT
RDBECOLIGNC02004,b2173,yeiR
RDBECOLIGNC03981,b2174,lpxT
RDBECOLIGNC03982,b2175,mepS
RDBECOLIGNC03983,b2176,pdeN
RDBECOLIGNC01950,b2177,yejA
RDBECOLIGNC01952,b2179,yejE
RDBECOLIGNC01953,b2180,yejF
RDBECOLIGNC01383,b2182,bcr
RDBECOLIGNC01956,b2183,rsuA
RDBECOLIGNC01958,b2186,yejK
RDBECOLIGNC01955,b2187,yejL
RDBECOLIGNC01960,b2190,yejO
RDBECOLIGNC03985,b2192,insH8
RDBECOLIGNC01480,b2193,narP
RDBECOLIGNC00812,b2218,rcsC
RDBECOLIGNC01608,b2219,atoS
RDBECOLIGNC01609,b2220,atoC
RDBECOLIGNC03987,b2226,yfaQ
RDBECOLIGNC03989,b2229,yfaT
RDBECOLIGNC01125,b2230,yfaA
RDBECOLIGNC02394,b2233,yfaL
RDBECOLIGNC02194,b2244,rpnE
RDBECOLIGNC03990,b2245,yfaU
RDBECOLIGNC03991,b2246,yfaV
RDBECOLIGNC03992,b2247,rhmD
RDBECOLIGNC03993,b2248,yfaX
RDBECOLIGNC03994,b2249,yfaY
RDBECOLIGNC03995,b2250,yfaZ
RDBECOLIGNC03996,b2251,nudI
RDBECOLIGNC03997,b2252,ais
RDBECOLIGNC04004,b2259,pmrD
RDBECOLIGNC02286,b2260,menE
RDBECOLIGNC01485,b2261,menC
RDBECOLIGNC01335,b2262,menB
RDBECOLIGNC02287,b2263,menH
RDBECOLIGNC00571,b2264,menD
RDBECOLIGNC02225,b2265,menF
RDBECOLIGNC04006,b2267,elaA
RDBECOLIGNC04007,b2268,rbn
RDBECOLIGNC04008,b2269,elaD
RDBECOLIGNC04011,b2272,yfbM
RDBECOLIGNC04014,b2275,yfbP
RDBECOLIGNC04017,b2292,yfbS
RDBECOLIGNC04022,b2299,yfcD
RDBECOLIGNC04023,b2300,yfcE
RDBECOLIGNC04024,b2301,yfcF
RDBECOLIGNC04025,b2302,yfcG
RDBECOLIGNC04026,b2303,folX
RDBECOLIGNC04027,b2304,yfcH
RDBECOLIGNC04028,b2305,rpnB
RDBECOLIGNC00212,b2314,dedD
RDBECOLIGNC00321,b2315,folC
RDBECOLIGNC00447,b2318,truA
RDBECOLIGNC01047,b2319,usg
RDBECOLIGNC02926,b2320,pdxB
RDBECOLIGNC00223,b2321,flk
RDBECOLIGNC04029,b2322,yfcJ
RDBECOLIGNC04030,b2324,mnmC
RDBECOLIGNC04031,b2325,yfcL
RDBECOLIGNC04032,b2326,epmC
RDBECOLIGNC01127,b2327,yfcA
RDBECOLIGNC00572,b2328,mepA
RDBECOLIGNC00071,b2329,aroC
RDBECOLIGNC04036,b2334,yfcQ
RDBECOLIGNC04037,b2335,yfcR
RDBECOLIGNC04038,b2336,yfcS
RDBECOLIGNC04041,b2340,sixA
RDBECOLIGNC04045,b2345,yfdF
RDBECOLIGNC04046,b2346,mlaA
RDBECOLIGNC04048,b2349,intS
RDBECOLIGNC04049,b2350,yfdG
RDBECOLIGNC04050,b2351,yfdH
RDBECOLIGNC04051,b2352,yfdI
RDBECOLIGNC04060,b2361,yfdR
RDBECOLIGNC04061,b2362,yfdS
RDBECOLIGNC04062,b2363,yfdT
RDBECOLIGNC04069,b2376,ypdI
RDBECOLIGNC04074,b2381,pyrR
RDBECOLIGNC04076,b2383,fryA
RDBECOLIGNC04077,b2384,ypdE
RDBECOLIGNC04078,b2385,ypdF
RDBECOLIGNC04079,b2386,fryC
RDBECOLIGNC04080,b2387,fryB
RDBECOLIGNC04081,b2389,yfeO
RDBECOLIGNC04082,b2390,ypeC
RDBECOLIGNC04084,b2394,insL3
RDBECOLIGNC01128,b2395,pdeA
RDBECOLIGNC01395,b2399,yfeD
RDBECOLIGNC04085,b2408,yfeN
RDBECOLIGNC04086,b2409,yfeR
RDBECOLIGNC02239,b2410,yfeH
RDBECOLIGNC00526,b2411,ligA
RDBECOLIGNC00003,b2413,cysZ
RDBECOLIGNC02030,b2426,ucpA
RDBECOLIGNC04095,b2431,yfeX
RDBECOLIGNC04096,b2432,yfeY
RDBECOLIGNC04097,b2433,yfeZ
RDBECOLIGNC04098,b2434,ypeA
RDBECOLIGNC02074,b2437,eutR
RDBECOLIGNC04099,b2438,eutK
RDBECOLIGNC04100,b2439,eutL
RDBECOLIGNC02561,b2440,eutC
RDBECOLIGNC02560,b2441,eutB
RDBECOLIGNC04102,b2443,yffL
RDBECOLIGNC04103,b2444,yffM
RDBECOLIGNC04104,b2445,yffN
RDBECOLIGNC04105,b2446,yffO
RDBECOLIGNC04106,b2447,yffP
RDBECOLIGNC04107,b2448,yffQ
RDBECOLIGNC04108,b2449,yffR
RDBECOLIGNC04112,b2453,eutG
RDBECOLIGNC04113,b2454,eutJ
RDBECOLIGNC04114,b2455,eutE
RDBECOLIGNC04115,b2456,eutN
RDBECOLIGNC04123,b2466,ypfG
RDBECOLIGNC02266,b2467,nudK
RDBECOLIGNC00202,b2472,dapE
RDBECOLIGNC04124,b2473,ypfH
RDBECOLIGNC04125,b2474,tmcA
RDBECOLIGNC04126,b2475,ypfJ
RDBECOLIGNC00650,b2477,bamC
RDBECOLIGNC00199,b2478,dapA
RDBECOLIGNC01131,b2479,gcvR
RDBECOLIGNC00104,b2480,bcp
RDBECOLIGNC04137,b2493,yfgO
RDBECOLIGNC04138,b2494,bepA
RDBECOLIGNC04139,b2495,yfgD
RDBECOLIGNC04140,b2496,hda
RDBECOLIGNC04144,b2506,yfgI
RDBECOLIGNC04145,b2510,yfgJ
RDBECOLIGNC04146,b2511,der
RDBECOLIGNC04147,b2512,bamB
RDBECOLIGNC04148,b2513,yfgM
RDBECOLIGNC00446,b2514,hisS
RDBECOLIGNC00363,b2515,ispG
RDBECOLIGNC00013,b2516,rodZ
RDBECOLIGNC02258,b2517,rlmN
RDBECOLIGNC04149,b2519,pbpC
RDBECOLIGNC04150,b2520,yfhM
RDBECOLIGNC01547,b2521,sseA
RDBECOLIGNC02182,b2523,pepB
RDBECOLIGNC02183,b2524,iscX
RDBECOLIGNC01298,b2525,fdx
RDBECOLIGNC02028,b2527,hscB
RDBECOLIGNC04154,b2532,trmJ
RDBECOLIGNC00971,b2533,suhB
RDBECOLIGNC04155,b2534,yfhR
RDBECOLIGNC04157,b2536,hcaT
RDBECOLIGNC04162,b2543,yphA
RDBECOLIGNC04163,b2544,yphB
RDBECOLIGNC04164,b2545,yphC
RDBECOLIGNC04165,b2546,yphD
RDBECOLIGNC04166,b2547,yphE
RDBECOLIGNC04167,b2548,yphF
RDBECOLIGNC04168,b2549,yphG
RDBECOLIGNC04169,b2550,yphH
RDBECOLIGNC02035,b2555,qseG
RDBECOLIGNC04170,b2556,glrK
RDBECOLIGNC02180,b2561,yfhH
RDBECOLIGNC00241,b2563,acpS
RDBECOLIGNC00684,b2564,pdxJ
RDBECOLIGNC00822,b2565,recO
RDBECOLIGNC00264,b2566,era
RDBECOLIGNC00847,b2567,rnc
RDBECOLIGNC01491,b2575,yfiC
RDBECOLIGNC00963,b2576,srmB
RDBECOLIGNC01716,b2577,yfiE
RDBECOLIGNC02293,b2578,eamB
RDBECOLIGNC00771,b2585,pssA
RDBECOLIGNC02399,b2586,yfiM
RDBECOLIGNC00153,b2592,clpB
RDBECOLIGNC01998,b2593,yfiH
RDBECOLIGNC01999,b2594,rluD
RDBECOLIGNC04176,b2595,bamD
RDBECOLIGNC01244,b2598,pheL
RDBECOLIGNC00698,b2599,pheA
RDBECOLIGNC00294,b2610,ffh
RDBECOLIGNC04179,b2611,ypjD
RDBECOLIGNC02076,b2615,nadK
RDBECOLIGNC04180,b2618,yfjF
RDBECOLIGNC04181,b2619,ratA
RDBECOLIGNC01713,b2620,smpB
RDBECOLIGNC04182,b2623,yfjH
RDBECOLIGNC02011,b2624,alpA
RDBECOLIGNC04184,b2626,yfjJ
RDBECOLIGNC04185,b2627,abpB
RDBECOLIGNC04187,b2629,yfjM
RDBECOLIGNC04190,b2632,yfjP
RDBECOLIGNC04191,b2633,yfjQ
RDBECOLIGNC04192,b2634,yfjR
RDBECOLIGNC04193,b2635,ypjK
RDBECOLIGNC04194,b2636,yfjS
RDBECOLIGNC04195,b2637,yfjT
RDBECOLIGNC04196,b2638,yfjU
RDBECOLIGNC04197,b2641,yfjV
RDBECOLIGNC04198,b2642,yfjW
RDBECOLIGNC04204,b2648,pinH
RDBECOLIGNC04205,b2649,ypjB
RDBECOLIGNC04206,b2650,ypjC
RDBECOLIGNC04220,b2681,ygaY
RDBECOLIGNC04222,b2683,ygaH
RDBECOLIGNC00411,b2688,gshA
RDBECOLIGNC04223,b2689,yqaA
RDBECOLIGNC04224,b2690,yqaB
RDBECOLIGNC02451,b2691,argQ
RDBECOLIGNC02457,b2692,argZ
RDBECOLIGNC02456,b2693,argY
RDBECOLIGNC02453,b2694,argV
RDBECOLIGNC02532,b2695,serV
RDBECOLIGNC04225,b2700,pncC
RDBECOLIGNC04226,b2701,mltB
RDBECOLIGNC00617,b2733,mutS
RDBECOLIGNC04230,b2735,ygbI
RDBECOLIGNC04233,b2738,ygbL
RDBECOLIGNC04234,b2739,ygbM
RDBECOLIGNC04235,b2740,ygbN
RDBECOLIGNC00681,b2743,pcm
RDBECOLIGNC01747,b2744,umpG
RDBECOLIGNC04236,b2745,truD
RDBECOLIGNC01746,b2746,ispF
RDBECOLIGNC04238,b2748,ftsB
RDBECOLIGNC02360,b2749,ygbE
RDBECOLIGNC00481,b2753,iap
RDBECOLIGNC04246,b2766,ygcN
RDBECOLIGNC04249,b2769,ygcQ
RDBECOLIGNC04250,b2770,ygcR
RDBECOLIGNC02425,b2775,yqcE
RDBECOLIGNC04256,b2778,ygcG
RDBECOLIGNC01222,b2785,rlmD
RDBECOLIGNC01334,b2786,barA
RDBECOLIGNC04260,b2790,yqcA
RDBECOLIGNC04261,b2791,truC
RDBECOLIGNC04262,b2792,yqcC
RDBECOLIGNC04263,b2793,syd
RDBECOLIGNC01569,b2797,sdaB
RDBECOLIGNC02235,b2798,ygdG
RDBECOLIGNC01724,b2807,ygdD
RDBECOLIGNC04265,b2809,ygdI
RDBECOLIGNC04266,b2810,csdA
RDBECOLIGNC04267,b2811,csdE
RDBECOLIGNC04268,b2812,tcdA
RDBECOLIGNC02499,b2814,metZ
RDBECOLIGNC02554,b2815,metW
RDBECOLIGNC00990,b2827,thyA
RDBECOLIGNC02025,b2828,lgt
RDBECOLIGNC02072,b2829,ptsP
RDBECOLIGNC04271,b2830,rppH
RDBECOLIGNC00616,b2831,mutH
RDBECOLIGNC04272,b2832,ygdQ
RDBECOLIGNC04274,b2834,tas
RDBECOLIGNC02299,b2835,lplT
RDBECOLIGNC01620,b2836,aas
RDBECOLIGNC02224,b2842,kduD
RDBECOLIGNC04279,b2847,yqeI
RDBECOLIGNC04282,b2850,ygeF
RDBECOLIGNC04285,b2853,ygeI
RDBECOLIGNC04286,b2854,pbl
RDBECOLIGNC04287,b2855,ygeK
RDBECOLIGNC04288,b2856,ygeL
RDBECOLIGNC04289,b2858,ygeN
RDBECOLIGNC04290,b2859,ygeO
RDBECOLIGNC04291,b2860,insD4
RDBECOLIGNC04292,b2861,insC4
RDBECOLIGNC04293,b2862,ygeP
RDBECOLIGNC04294,b2863,ygeQ
RDBECOLIGNC04295,b2865,actS
RDBECOLIGNC04299,b2869,ygeV
RDBECOLIGNC04301,b2871,ygeX
RDBECOLIGNC04302,b2872,ygeY
RDBECOLIGNC04303,b2873,hyuA
RDBECOLIGNC04304,b2874,yqeA
RDBECOLIGNC04308,b2878,ygfK
RDBECOLIGNC04309,b2879,ssnA
RDBECOLIGNC04310,b2880,ygfM
RDBECOLIGNC04311,b2881,xdhD
RDBECOLIGNC04312,b2882,xanQ
RDBECOLIGNC04313,b2883,guaD
RDBECOLIGNC04315,b2886,ygfS
RDBECOLIGNC04316,b2887,ygfT
RDBECOLIGNC04317,b2888,uacT
RDBECOLIGNC04318,b2889,idi
RDBECOLIGNC04319,b2896,ygfX
RDBECOLIGNC04320,b2897,sdhE
RDBECOLIGNC04321,b2898,ygfZ
RDBECOLIGNC04322,b2899,trhA
RDBECOLIGNC04323,b2900,yqfB
RDBECOLIGNC02974,b2901,bglA
RDBECOLIGNC04324,b2902,ygfF
RDBECOLIGNC01303,b2906,ubiI
RDBECOLIGNC01294,b2907,ubiH
RDBECOLIGNC00688,b2908,pepP
RDBECOLIGNC01293,b2909,ygfB
RDBECOLIGNC02412,b2910,zapA
RDBECOLIGNC04325,b2915,yqfE
RDBECOLIGNC01219,b2922,yggE
RDBECOLIGNC01143,b2928,yggC
RDBECOLIGNC01144,b2929,fumE
RDBECOLIGNC01220,b2930,yggF
RDBECOLIGNC01390,b2935,tktA
RDBECOLIGNC01263,b2936,loiP
RDBECOLIGNC04330,b2939,yqgB
RDBECOLIGNC04331,b2940,yqgC
RDBECOLIGNC04332,b2941,yqgD
RDBECOLIGNC02020,b2944,yggI
RDBECOLIGNC01306,b2945,endA
RDBECOLIGNC02229,b2946,rsmE
RDBECOLIGNC00412,b2947,gshB
RDBECOLIGNC04333,b2948,yqgE
RDBECOLIGNC04334,b2949,yqgF
RDBECOLIGNC04335,b2950,yggR
RDBECOLIGNC04336,b2951,yggS
RDBECOLIGNC04337,b2952,yggT
RDBECOLIGNC04338,b2953,yggU
RDBECOLIGNC04339,b2954,rdgB
RDBECOLIGNC04340,b2955,hemW
RDBECOLIGNC02358,b2956,yggM
RDBECOLIGNC02359,b2958,yggN
RDBECOLIGNC02291,b2959,yggL
RDBECOLIGNC01710,b2960,trmB
RDBECOLIGNC04343,b2966,yqgA
RDBECOLIGNC04344,b2968,yghD
RDBECOLIGNC04345,b2969,yghE
RDBECOLIGNC04348,b2972,pppA
RDBECOLIGNC04355,b2981,yghO
RDBECOLIGNC04356,b2982,insH9
RDBECOLIGNC04357,b2983,yghQ
RDBECOLIGNC02416,b2988,gss
RDBECOLIGNC04361,b2989,yghU
RDBECOLIGNC04366,b3002,yqhA
RDBECOLIGNC01264,b3003,yghA
RDBECOLIGNC01753,b3009,yghB
RDBECOLIGNC04373,b3014,yqhH
RDBECOLIGNC01343,b3017,ftsP
RDBECOLIGNC01344,b3018,plsC
RDBECOLIGNC00678,b3019,parC
RDBECOLIGNC04375,b3020,ygiS
RDBECOLIGNC01149,b3040,zupT
RDBECOLIGNC00458,b3041,ribB
RDBECOLIGNC04385,b3042,ubiK
RDBECOLIGNC04387,b3045,insD5
RDBECOLIGNC04388,b3046,yqiG
RDBECOLIGNC04389,b3047,yqiH
RDBECOLIGNC04390,b3048,yqiI
RDBECOLIGNC04391,b3050,yqiJ
RDBECOLIGNC04392,b3051,yqiK
RDBECOLIGNC04393,b3052,hldE
RDBECOLIGNC01549,b3053,glnE
RDBECOLIGNC00132,b3056,cca
RDBECOLIGNC01614,b3058,folB
RDBECOLIGNC01615,b3059,plsY
RDBECOLIGNC01152,b3064,tsaD
RDBECOLIGNC02367,b3068,mug
RDBECOLIGNC02483,b3069,ileX
RDBECOLIGNC00248,b3075,ebgR
RDBECOLIGNC04399,b3079,ygjJ
RDBECOLIGNC04400,b3080,ygjK
RDBECOLIGNC04403,b3084,rlmG
RDBECOLIGNC04404,b3085,ygjP
RDBECOLIGNC04405,b3086,ygjQ
RDBECOLIGNC04411,b3097,yqjC
RDBECOLIGNC04412,b3098,yqjD
RDBECOLIGNC04413,b3099,yqjE
RDBECOLIGNC04414,b3100,yqjK
RDBECOLIGNC04416,b3102,yqjG
RDBECOLIGNC04417,b3103,yhaH
RDBECOLIGNC01155,b3121,yhaC
RDBECOLIGNC04426,b3130,yhaV
RDBECOLIGNC04435,b3143,yraI
RDBECOLIGNC04436,b3144,yraJ
RDBECOLIGNC04437,b3145,yraK
RDBECOLIGNC04438,b3146,rsmI
RDBECOLIGNC04439,b3147,lpoA
RDBECOLIGNC04440,b3148,yraN
RDBECOLIGNC02379,b3149,diaA
RDBECOLIGNC04441,b3150,dolP
RDBECOLIGNC04443,b3152,yraR
RDBECOLIGNC04445,b3154,yhbP
RDBECOLIGNC04446,b3155,yhbQ
RDBECOLIGNC04450,b3159,ubiV
RDBECOLIGNC02234,b3163,nlpI
RDBECOLIGNC01505,b3176,glmM
RDBECOLIGNC02565,b3177,folP
RDBECOLIGNC01461,b3178,ftsH
RDBECOLIGNC00408,b3181,greA
RDBECOLIGNC00196,b3182,dacB
RDBECOLIGNC02384,b3196,yrbG
RDBECOLIGNC04457,b3197,kdsD
RDBECOLIGNC04458,b3198,kdsC
RDBECOLIGNC04459,b3199,lptC
RDBECOLIGNC04460,b3200,lptA
RDBECOLIGNC01621,b3201,lptB
RDBECOLIGNC02041,b3205,rapZ
RDBECOLIGNC02042,b3206,npr
RDBECOLIGNC04462,b3208,mtgA
RDBECOLIGNC01349,b3209,elbB
RDBECOLIGNC04466,b3218,insH10
RDBECOLIGNC04467,b3219,yhcF
RDBECOLIGNC04468,b3220,yhcG
RDBECOLIGNC04472,b3226,nanR
RDBECOLIGNC00966,b3228,sspB
RDBECOLIGNC04474,b3232,zapE
RDBECOLIGNC04475,b3233,yhcB
RDBECOLIGNC04476,b3234,degQ
RDBECOLIGNC01594,b3235,degS
RDBECOLIGNC04483,b3244,tldD
RDBECOLIGNC01271,b3247,rng
RDBECOLIGNC01270,b3248,yhdE
RDBECOLIGNC00016,b3252,csrD
RDBECOLIGNC01285,b3253,yhdH
RDBECOLIGNC04486,b3257,yhdT
RDBECOLIGNC00677,b3258,panF
RDBECOLIGNC01452,b3259,prmA
RDBECOLIGNC04487,b3263,yhdU
RDBECOLIGNC01678,b3264,envR
RDBECOLIGNC04489,b3279,yrdA
RDBECOLIGNC04490,b3280,yrdB
RDBECOLIGNC04491,b3282,tsaC
RDBECOLIGNC01403,b3287,def
RDBECOLIGNC01241,b3288,fmt
RDBECOLIGNC02054,b3289,rsmB
RDBECOLIGNC01007,b3290,trkA
RDBECOLIGNC04504,b3343,tusB
RDBECOLIGNC04505,b3344,tusC
RDBECOLIGNC04506,b3345,tusD
RDBECOLIGNC04507,b3346,yheO
RDBECOLIGNC04508,b3347,fkpA
RDBECOLIGNC01604,b3349,slyD
RDBECOLIGNC02439,b3350,kefB
RDBECOLIGNC04509,b3351,kefG
RDBECOLIGNC02418,b3352,yheS
RDBECOLIGNC04510,b3353,yheT
RDBECOLIGNC04511,b3354,yheU
RDBECOLIGNC02228,b3355,prkB
RDBECOLIGNC04512,b3358,yhfK
RDBECOLIGNC00674,b3360,pabA
RDBECOLIGNC00301,b3361,fic
RDBECOLIGNC02237,b3362,yhfG
RDBECOLIGNC04524,b3382,yhfY
RDBECOLIGNC01018,b3384,trpS
RDBECOLIGNC01799,b3385,gph
RDBECOLIGNC04703,b3386,rpe
RDBECOLIGNC00198,b3387,dam
RDBECOLIGNC01164,b3388,damX
RDBECOLIGNC02012,b3391,hofQ
RDBECOLIGNC00738,b3396,mrcA
RDBECOLIGNC04532,b3399,yrfG
RDBECOLIGNC04533,b3400,hslR
RDBECOLIGNC04534,b3401,hslO
RDBECOLIGNC04536,b3407,yhgF
RDBECOLIGNC01686,b3411,rpnA
RDBECOLIGNC00118,b3412,bioH
RDBECOLIGNC02219,b3422,rtcR
RDBECOLIGNC04542,b3434,yhgN
RDBECOLIGNC04544,b3440,yhhX
RDBECOLIGNC04547,b3443,yrhA
RDBECOLIGNC04548,b3444,insA6
RDBECOLIGNC04549,b3445,insB6
RDBECOLIGNC00367,b3447,ggt
RDBECOLIGNC00339,b3462,ftsX
RDBECOLIGNC00334,b3463,ftsE
RDBECOLIGNC00340,b3464,ftsY
RDBECOLIGNC00337,b3465,rsmD
RDBECOLIGNC02094,b3466,yhhL
RDBECOLIGNC02095,b3467,yhhM
RDBECOLIGNC02096,b3468,yhhN
RDBECOLIGNC02098,b3470,tusA
RDBECOLIGNC04551,b3472,dcrB
RDBECOLIGNC02100,b3473,yhhS
RDBECOLIGNC02101,b3474,yhhT
RDBECOLIGNC02102,b3475,acpT
RDBECOLIGNC00837,b3482,rhsB
RDBECOLIGNC01473,b3483,yhhH
RDBECOLIGNC01478,b3484,yhhI
RDBECOLIGNC01701,b3485,yhhJ
RDBECOLIGNC02103,b3486,rbbA
RDBECOLIGNC02104,b3487,yhiI
RDBECOLIGNC02108,b3492,yhiN
RDBECOLIGNC02112,b3497,rsmJ
RDBECOLIGNC01404,b3498,prlC
RDBECOLIGNC02113,b3499,rlmJ
RDBECOLIGNC02117,b3504,yhiS
RDBECOLIGNC04552,b3505,insH11
RDBECOLIGNC02123,b3519,treF
RDBECOLIGNC02124,b3520,yhjB
RDBECOLIGNC02128,b3524,yhjG
RDBECOLIGNC02130,b3526,kdgK
RDBECOLIGNC02132,b3529,pdeK
RDBECOLIGNC02137,b3534,bcsQ
RDBECOLIGNC02139,b3536,bcsE
RDBECOLIGNC02140,b3537,bcsF
RDBECOLIGNC02141,b3538,bcsG
RDBECOLIGNC02142,b3539,yhjV
RDBECOLIGNC02145,b3548,yhjY
RDBECOLIGNC00974,b3549,tag
RDBECOLIGNC02146,b3550,yiaC
RDBECOLIGNC02148,b3553,ghrB
RDBECOLIGNC02149,b3554,yiaF
RDBECOLIGNC04553,b3557,insJ
RDBECOLIGNC00403,b3559,glyS
RDBECOLIGNC00402,b3560,glyQ
RDBECOLIGNC01166,b3562,yiaA
